Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,169.098007,170.421005,169.039993,169.098007,169.098007,0
2023-05-16,170.380005,170.804993,169.397003,170.380005,170.380005,0
2023-05-17,170.304001,171.664001,170.121002,170.304001,170.304001,0
2023-05-18,171.766006,172.132004,171.179993,171.766006,171.766006,0
2023-05-19,172.048004,172.494995,171.253006,172.048004,172.048004,0
2023-05-22,171.565002,172.541000,171.201004,171.565002,171.565002,0
2023-05-23,172.414001,172.610001,171.317001,172.414001,172.414001,0
2023-05-24,172.087006,172.723999,171.261002,172.087006,172.087006,0
2023-05-25,172.296005,172.751175,172.009995,172.296005,172.296005,0
2023-05-26,172.423996,173.429993,172.220001,172.423996,172.423996,0
2023-05-29,173.917007,173.901001,172.929993,173.917007,173.917007,0
2023-05-30,173.419998,174.266998,173.003006,173.419998,173.419998,0
2023-05-31,173.492004,173.606995,172.520004,173.492004,173.492004,0
2023-06-01,173.154999,174.095001,173.052002,173.154999,173.154999,0
2023-06-02,173.776993,174.656006,173.748993,173.776993,173.776993,0
2023-06-05,174.263000,174.304001,172.889999,174.263000,174.263000,0
2023-06-06,173.266998,173.742996,172.675003,173.266998,173.266998,0
2023-06-07,173.386993,174.343994,172.681000,173.386993,173.386993,0
2023-06-08,174.087997,174.481003,173.899994,174.087997,174.087997,0
2023-06-09,174.376999,175.531006,174.429001,174.376999,174.376999,0
2023-06-12,175.328003,175.748993,174.363998,175.328003,175.328003,0
2023-06-13,174.522995,176.639008,174.464996,174.522995,174.522995,0
2023-06-14,176.679001,177.128998,176.449997,176.679001,176.679001,0
2023-06-15,177.324005,179.339005,177.334000,177.324005,177.324005,0
2023-06-16,179.326004,181.723999,178.824997,179.326004,179.326004,0
2023-06-19,181.979996,182.059998,181.222000,181.979996,181.979996,0
2023-06-20,181.531006,182.031998,179.957993,181.531006,181.531006,0
2023-06-21,180.397003,181.559998,179.959000,180.397003,180.397003,0
2023-06-22,180.938004,182.195999,180.737000,180.938004,180.938004,0
2023-06-23,182.298996,182.792999,181.319000,182.298996,182.298996,0
2023-06-26,182.707993,182.970001,181.699997,182.707993,182.707993,0
2023-06-27,182.352005,183.677002,182.218002,182.352005,182.352005,0
2023-06-28,183.350998,183.578995,182.169006,183.350998,183.350998,0
2023-06-29,182.518997,182.856003,182.216995,182.518997,182.518997,0
2023-06-30,182.630005,183.856003,182.179993,182.630005,182.630005,0
2023-07-03,183.276993,183.744995,183.085999,183.276993,183.276993,0
2023-07-04,183.490005,183.897003,183.255005,183.490005,183.490005,0
2023-07-05,183.610001,183.973999,183.171005,183.610001,183.610001,0
2023-07-06,183.529999,183.994003,182.500000,183.529999,183.529999,0
2023-07-07,183.410995,183.535004,182.022995,183.410995,183.410995,0
2023-07-10,182.569000,183.203003,181.102997,182.569000,182.569000,0
2023-07-11,181.733002,181.975006,180.835999,181.733002,181.733002,0
2023-07-12,181.197006,181.169006,179.529999,181.197006,181.197006,0
2023-07-13,179.731995,181.425995,179.496994,179.731995,179.731995,0
2023-07-14,181.253006,182.251999,180.251007,181.253006,181.253006,0
2023-07-17,181.531006,182.119995,180.600998,181.531006,181.531006,0
2023-07-18,181.330002,181.789993,180.404007,181.330002,181.330002,0
2023-07-19,181.209000,181.606003,179.843994,181.209000,181.209000,0
2023-07-20,180.582001,180.703003,179.731995,180.582001,180.582001,0
2023-07-21,180.014008,182.509003,179.934006,180.014008,180.014008,0
2023-07-24,182.184998,182.324005,180.815994,182.184998,182.184998,0
2023-07-25,181.279999,181.985992,181.167007,181.279999,181.279999,0
2023-07-26,181.681000,181.908005,180.910995,181.681000,181.681000,0
2023-07-27,181.442993,181.901993,180.817001,181.442993,181.442993,0
2023-07-28,177.651993,181.113998,176.403000,177.651993,177.651993,0
2023-07-31,180.917007,183.175995,180.869995,180.917007,180.917007,0
2023-08-01,182.647995,183.227997,182.584000,182.647995,182.647995,0
2023-08-02,182.897003,183.121994,181.755997,182.897003,182.897003,0
2023-08-03,182.315002,182.742004,180.483002,182.315002,182.315002,0
2023-08-04,181.313995,181.712997,180.753006,181.313995,181.313995,0
2023-08-07,180.854004,181.893005,180.582001,180.854004,180.854004,0
2023-08-08,182.147003,182.945007,181.399994,182.147003,182.147003,0
2023-08-09,182.520004,183.005997,182.376999,182.520004,182.520004,0
2023-08-10,182.807007,184.205994,182.699997,182.807007,182.807007,0
2023-08-11,183.513000,184.229004,183.434998,183.513000,183.513000,0
